Agency,City,State,NTD ID,Organization Type,Reporter Type,Report Year,UACE Code,UZA Name,Primary UZA Population,Agency VOMS,Mode,Mode Name,TOS,Mode VOMS,Vehicle Operations,Vehicle Operations Questionable,Vehicle Maintenance,Vehicle Maintenance Questionable,Facility Maintenance,Facility Maintenance Questionable,General Administration,General Administration Questionable,Reduced Reporter Expenses,Reduced Reporter Expenses Questionable,Total,Total Questionable,Purchased Transportation Reported Separately,Purchased Transportation Reported Separately Questionable
Fresno County Rural Transit Agency,Fresno,CA,91007,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,65,DR,Demand Response,PT,52,0,,0,,0,,0,,4417583,,4417583,,0,
Brazos Transit District,Bryan,TX,60059,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,18748,"College Station--Bryan, TX",206137,65,DR,Demand Response,DO,48,1734774,,464513,,182646,,1250568,,0,,3632501,,0,
"City of Wichita , dba: Wichita Transit",Wichita,KS,70015,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,95077,"Wichita, KS",500231,65,MB,Bus,DO,43,6462391,,2055990,,444435,,1707082,,0,,10669898,,0,
Marble Valley Regional Transit District,Rutland,VT,10154,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,65,DR,Demand Response,DO,37,0,,0,,0,,0,,1536760,,1536760,,0,
Marble Valley Regional Transit District,Rutland,VT,10154,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,65,MB,Bus,DO,28,0,,0,,0,,0,,4057287,,4057287,,0,
"City of Wichita , dba: Wichita Transit",Wichita,KS,70015,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,95077,"Wichita, KS",500231,65,DR,Demand Response,DO,22,1967666,,274741,,91461,,427764,,0,,2761632,,0,
Brazos Transit District,Bryan,TX,60059,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,18748,"College Station--Bryan, TX",206137,65,MB,Bus,DO,17,2958192,,853671,,309671,,2046038,,0,,6167572,,0,
Fresno County Rural Transit Agency,Fresno,CA,91007,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,65,MB,Bus,PT,13,0,,0,,0,,0,,1666970,,1666970,,0,
Southeast Tennessee Human Resource Agency-Rural Division,Dunlap,TN,40989,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,65,MB,Bus,DO,1,0,,0,,0,,0,,89467,,89467,,0,
Southwest Georgia RC,Camilla,GA,41177,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,64,DR,Demand Response,PT,64,0,,0,,0,,0,,5563582,,5563582,,0,
"JAUNT, Inc.",Charlottesville,VA,30045,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,2022,15724,"Charlottesville, VA",104191,64,DR,Demand Response,DO,54,5368174,,319658,,297301,,1992019,,0,,7977152,,0,
"JAUNT, Inc.",Charlottesville,VA,30045,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,2022,15724,"Charlottesville, VA",104191,64,CB,Commuter Bus,DO,10,653127,,43408,,35921,,270148,,0,,1002604,,0,
