Agency,City,State,NTD ID,Organization Type,Reporter Type,Report Year,UACE Code,UZA Name,Primary UZA Population,Agency VOMS,Mode,Mode Name,TOS,Mode VOMS,Vehicle Operations,Vehicle Operations Questionable,Vehicle Maintenance,Vehicle Maintenance Questionable,Facility Maintenance,Facility Maintenance Questionable,General Administration,General Administration Questionable,Reduced Reporter Expenses,Reduced Reporter Expenses Questionable,Total,Total Questionable,Purchased Transportation Reported Separately,Purchased Transportation Reported Separately Questionable
"Sullivan County , dba: Move Sullivan",Monticello,NY,20937,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,11,MB,Bus,DO,2,0,,0,,0,,0,,113272,,113272,,0,
Martin County,Stuart,FL,40192,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2023,71479,"Port St. Lucie, FL",437745,11,CB,Commuter Bus,PT,2,275532,,74186,,924,,250251,,0,,600893,,0,
Mitchell County Transportation Authority,Bakersville,NC,41043,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,11,MB,Bus,DO,1,0,,0,,0,,0,,50443,,50443,,0,
City of Fort Lauderdale,Fort Lauderdale,FL,44929,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2023,56602,"Miami--Fort Lauderdale, FL",6077522,11,FB,Ferryboat,PT,1,148456,,38119,,29709,,68535,,0,,284819,,0,
"Teller Senior Coalition, dba: TSC Transit",Divide,CO,88230,Private-Non-Profit Corporation,Rural Reporter,2023,,,,11,MB,Bus,DO,1,0,,0,,0,,0,,18329,,18329,,0,
Malheur Council on Aging and Community Services,Ontario,OR,00323,Private-Non-Profit Corporation,Rural Reporter,2023,,,,11,MB,Bus,DO,1,0,,0,,0,,0,,191900,,191900,,0,
"Steel Valley Regional Transit Authority, dba: Steel Valley RTA",Steubenville,OH,50142,Independent Public Agency or Authority of Transit Service,Reduced Reporter,2023,84859,"Steubenville--Weirton, OH--WV--PA",64981,11,DR,Demand Response,DO,1,0,,0,,0,,0,,65390,,65390,,0,
"Developmental Services of Northwest Kansas, Inc., dba: Access Transportation",Hays,KS,70060,Private-Non-Profit Corporation,Rural Reporter,2023,,,,11,MB,Bus,DO,1,0,,0,,0,,0,,103535,,103535,,0,
Malheur Council on Aging and Community Services,Ontario,OR,00323,Private-Non-Profit Corporation,Rural Reporter,2023,,,,11,CB,Commuter Bus,DO,1,0,,0,,0,,0,,115933,,115933,,0,
"City of Edmond, dba: Citylink",Edmond,OK,60118,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2023,65080,"Oklahoma City, OK",982276,11,CB,Commuter Bus,PT,1,0,,0,,0,,0,,217745,,217745,,0,
Columbia County Public Transportation,Dayton,WA,00383,Independent Public Agency or Authority of Transit Service,Rural Reporter,2023,,,,11,VP,Vanpool,DO,1,0,,0,,0,,0,,7096,,7096,,0,
"Williston Council for the Aging , dba: Northwest Dakota Public Transit",Williston,ND,80160,Private-Non-Profit Corporation,Rural Reporter,2023,,,,10,DR,Demand Response,DO,10,0,,0,,0,,0,,642469,,642469,,0,
"City of Valdosta, dba: Valdosta On Demand",Valdosta,GA,40276,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2023,89974,"Valdosta, GA",76769,10,DR,Demand Response,PT,10,0,,0,,0,,0,,1155850,,1155850,,0,
"Arenac Public Transit Authority, dba: Arenac County Transit",Twining,MI,50225,Independent Public Agency or Authority of Transit Service,Rural Reporter,2023,,,,10,DR,Demand Response,DO,10,0,,0,,0,,0,,815889,,815889,,0,
"Santa Barbara County Association of Governments, dba: Clean Air Express",Santa Barbara,CA,90303,"MPO, COG or Other Planning Agency",Reduced Reporter,2023,79282,"Santa Barbara, CA",202197,10,CB,Commuter Bus,PT,10,0,,0,,0,,0,,2145076,,2145076,,0,
"James River Senior Citizens Center, Inc., dba: JRSC Center & Public Transit",Jamestown,ND,80124,Private-Non-Profit Corporation,Rural Reporter,2023,,,,10,DR,Demand Response,DO,10,0,,0,,0,,0,,798750,,798750,,0,
Duplin County,Kenansville,NC,40915,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,10,DR,Demand Response,DO,10,0,,0,,0,,0,,945313,,945313,,0,
San Carlos Apache Tribe,San Carlos,AZ,99286,Tribe,Reduced Reporter,2023,00004,Arizona Non-UZA,1296856,10,MB,Bus,DO,10,0,,0,,0,,0,,1763613,,1763613,,0,
"Benton County, dba: Benton County Transportation",Vinton,IA,77090,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,10,DR,Demand Response,DO,10,0,,0,,0,,0,,441380,,441380,,0,
Wilson County,Wilson,NC,40993,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,10,DR,Demand Response,PT,10,0,,0,,0,,0,,716072,,716072,,0,
Los Angeles County,Alhambra,CA,90277,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2023,51445,"Los Angeles--Long Beach--Anaheim, CA",12237376,10,DR,Demand Response,PT,10,0,,0,,0,,0,,791688,,791688,,0,
"Community Services, Inc. , dba: Community Transit Service",Corsicana,TX,60260,Private-Non-Profit Corporation,Reduced Reporter,2023,22042,"Dallas--Fort Worth--Arlington, TX",5732354,10,DR,Demand Response,DO,10,0,,0,,0,,0,,1379446,,1379446,,0,
Ashland Public Transit,Ashland,OH,50382,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,10,DR,Demand Response,DO,10,0,,0,,0,,0,,961195,,961195,,0,
Assumption Parish Police Jury,,LA,60207,Area Agency on Aging,Rural Reporter,2023,,,,10,DR,Demand Response,DO,10,0,,0,,0,,0,,274332,,274332,,0,
Stanly County,Albemarle,NC,41181,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,10,DR,Demand Response,DO,10,0,,0,,0,,0,,1037088,,1037088,,0,
Little Kanawha Transit Authority,Mount Zion,WV,30162,Independent Public Agency or Authority of Transit Service,Rural Reporter,2023,,,,10,DR,Demand Response,DO,10,0,,0,,0,,0,,687440,,687440,,0,
"Rock Island County, dba: RIM Rural Transit",Rock Island,IL,50237,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,10,DR,Demand Response,DO,10,0,,0,,0,,0,,574213,,574213,,0,
Coshocton County Coordinated Transportation Agency,Coshocton,OH,55469,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,10,DR,Demand Response,DO,10,0,,0,,0,,0,,993842,,993842,,0,
"Council on Aging of St. Lucie, Inc., dba: Community Transit",Port Saint Lucie,FL,40097,Private-Non-Profit Corporation,Reduced Reporter,2023,71479,"Port St. Lucie, FL",437745,10,DR,Demand Response,DO,10,0,,0,,0,,0,,1144273,,1144273,,0,
"Monmouth County, dba: Special Citizen Area Transportation",Freehold,NJ,20933,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2023,63217,"New York--Jersey City--Newark, NY--NJ",19426449,10,DR,Demand Response,DO,10,0,,0,,0,,0,,1399650,,1399650,,0,
Marion Area Transit,Marion,OH,50388,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,10,DR,Demand Response,DO,10,0,,0,,0,,0,,964653,,964653,,0,
"Logan Transit System, dba: Logan Public Transit",Glouster,OH,50438,Private-Non-Profit Corporation,Rural Reporter,2023,,,,10,DR,Demand Response,DO,10,0,,0,,0,,0,,707429,,707429,,0,
"Pahrump Valley Public Transportation Inc, dba: Pahrump Valley Public Transit",Pahrump,NV,99473,Private-Non-Profit Corporation,Rural Reporter,2023,,,,10,DR,Demand Response,DO,10,0,,0,,0,,0,,525920,,525920,,0,
"Effingham County, dba: Effingham County Public Transportation",Effingham,IL,50345,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,10,DR,Demand Response,DO,10,0,,0,,0,,0,,783491,,783491,,0,
"Wakulla Senior Center, Inc., dba: Wakulla Transportation",Crawfordville,FL,41148,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,10,DR,Demand Response,DO,10,0,,0,,0,,0,,526071,,526071,,0,
RTS Genesee,Rochester,NY,20947,Independent Public Agency or Authority of Transit Service,Rural Reporter,2023,,,,10,MB,Bus,DO,10,0,,0,,0,,0,,1194012,,1194012,,0,
"White Earth Band of Chippewa, dba: White Earth Public Transit",Ogema,MN,55270,Tribe,Reduced Reporter,2023,00027,Minnesota Non-UZA,2336986,10,MB,Bus,DO,10,0,,0,,0,,0,,1503697,,1503697,,0,
"Liberty Place, Inc., dba: Whitehall Public Transportation",Whitehall,MT,80144,Private-Non-Profit Corporation,Rural Reporter,2023,,,,10,DR,Demand Response,DO,10,0,,0,,0,,0,,191702,,191702,,0,
Whitfield County,Dalton,GA,41138,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2023,22069,"Dalton, GA",67830,10,DR,Demand Response,DO,10,0,,0,,0,,0,,917208,,917208,,0,
"Lawrence County Aging-Rural Transit System , dba: Lawrence County Commission",Moulton,AL,41123,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,10,DR,Demand Response,DO,10,0,,0,,0,,0,,395495,,395495,,0,
Vermont Agency of Transportation,Barre,VT,11246,State Government Unit or Department of Transportation,Reduced Reporter,2023,11755,"Burlington, VT",118032,10,VP,Vanpool,PT,10,0,,0,,0,,0,,155168,,155168,,0,
American Samoa Government,Pago Pago,AS,99434,State Government Unit or Department of Transportation,Rural Reporter,2023,,,,10,DR,Demand Response,DO,10,0,,0,,0,,0,,1163310,,1163310,,0,
"Crowley's Ridge Development Council, Inc., dba: North East Arkansas Transit",Jonesboro,AR,60204,Private-Non-Profit Corporation,Rural Reporter,2023,,,,10,DR,Demand Response,DO,10,0,,0,,0,,0,,284250,,284250,,0,
"Richmond Interagency Transportation Inc., dba: Area of Richmond Transit",Hamlet,NC,41124,Private-Non-Profit Corporation,Rural Reporter,2023,,,,10,DR,Demand Response,DO,10,0,,0,,0,,0,,1035831,,1035831,,0,
"Sanders County Council on Aging, dba: Sanders County Transportation",Hot Springs,MT,80164,Private-Non-Profit Corporation,Rural Reporter,2023,,,,10,DR,Demand Response,DO,10,0,,0,,0,,0,,272061,,272061,,0,
"City of Corvallis, dba: Corvallis Transit System",Corvallis,OR,00047,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2023,20422,"Corvallis, OR",66791,10,MB,Bus,PT,10,0,,0,,0,,0,,4011760,,4011760,,0,
"Kankakee County, dba: SHOW BUS Public Transportation, NFP",Kankakee,IL,50328,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,10,DR,Demand Response,DO,10,0,,0,,0,,0,,754042,,754042,,0,
"Elko County, dba: GET My Ride",Elko,NV,91061,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,10,DR,Demand Response,DO,10,0,,0,,0,,0,,968037,,968037,,0,
"St. Clair County Commission, dba: St. Clair County Public Transportation",Ashville,AL,41076,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,10,DR,Demand Response,DO,10,0,,0,,0,,0,,889507,,889507,,0,
"Otsego County, dba: Otsego Express",Cooperstown,NY,20998,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,10,MB,Bus,PT,10,0,,0,,0,,0,,897456,,897456,,0,
Brunswick Transit System Inc.,Shallotte,NC,41058,Private-Non-Profit Corporation,Rural Reporter,2023,,,,10,DR,Demand Response,DO,10,0,,0,,0,,0,,715825,,715825,,0,
"Grundy County, dba: Grundy Transit System",Morris,IL,50253,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,10,DR,Demand Response,DO,10,0,,0,,0,,0,,755856,,755856,,0,
"City of Dixon , dba: Readi-Ride",Dixon,CA,91041,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,10,DR,Demand Response,DO,10,0,,0,,0,,0,,1080443,,1080443,,0,
"Marshall County, dba: Marshall County Public Transportation",Lacon,IL,55313,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,10,DR,Demand Response,DO,10,0,,0,,0,,0,,332689,,332689,,0,
Anson County,Wadesboro,NC,41113,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,10,DR,Demand Response,DO,10,0,,0,,0,,0,,831329,,831329,,0,
City of Whittier,Whittier,CA,90295,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2023,51445,"Los Angeles--Long Beach--Anaheim, CA",12237376,10,DR,Demand Response,PT,10,0,,0,,0,,0,,1831053,,1831053,,0,
"Harney County, dba: Harney Hub Transit",Burns,OR,00374,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,10,DR,Demand Response,PT,9,0,,0,,0,,0,,700653,,700653,,0,
Paul Bunyan Transit,Bemidji,MN,50489,Private-Non-Profit Corporation,Rural Reporter,2023,,,,10,DR,Demand Response,DO,9,0,,0,,0,,0,,1612835,,1612835,,0,
"New River Valley Senior Services, Inc., dba: Pulaski Area Transit",Radford,VA,30115,Private-Non-Profit Corporation,Rural Reporter,2023,,,,10,MB,Bus,DO,9,0,,0,,0,,0,,737523,,737523,,0,
"City of Lompoc, dba: City of Lompoc Transit",Lompoc,CA,90149,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2023,51040,"Lompoc, CA",54287,10,MB,Bus,PT,8,0,,0,,0,,0,,1832696,,1832696,,0,
"Center for Pan Asian Community Services, Inc.",Atlanta,GA,40246,Private-Non-Profit Corporation,Reduced Reporter,2023,03817,"Atlanta, GA",5100112,10,DR,Demand Response,DO,8,0,,0,,0,,0,,137745,,137745,,0,
"Gaston County, dba:  ACCESS Transportation",Gastonia,NC,40221,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2023,32653,"Gastonia, NC",176897,10,DR,Demand Response,DO,8,0,,0,,0,,0,,1271000,,1271000,,0,
"Lyon County, dba: Lyon County Transportation",Emporia,KS,70248,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,10,DR,Demand Response,DO,8,0,,0,,0,,0,,810861,,810861,,0,
"City of Terre Haute , dba: Terre Haute Transit Utility",Terre Haute,IN,50053,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2023,87139,"Terre Haute, IN",79862,10,MB,Bus,DO,8,1547013,,266694,,219367,,154243,,0,,2187317,,0,
"Autonomous Municipality of Vega Alta, dba: Municipio Autonomo de Vega Alta",Vega Alta,PR,40199,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2023,79093,"San Juan, PR",1844410,10,MB,Bus,DO,8,0,,0,,0,,0,,303533,,303533,,0,
City of Bell,Bell,CA,90252,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2023,51445,"Los Angeles--Long Beach--Anaheim, CA",12237376,10,DR,Demand Response,TX,8,0,,0,,0,,0,,26581,,26581,,0,
"Oneida-Vilas Transit Commission, dba: Northwoods Transit Connections",Rhinelander,WI,55319,Independent Public Agency or Authority of Transit Service,Rural Reporter,2023,,,,10,DR,Demand Response,DO,8,0,,0,,0,,0,,486069,,486069,,0,
Person County,Roxboro,NC,41010,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,10,DR,Demand Response,DO,8,0,,0,,0,,0,,957527,,957527,,0,
"Big Sky Transportation District, dba: Skyline",Big Sky,MT,80255,Independent Public Agency or Authority of Transit Service,Rural Reporter,2023,,,,10,MB,Bus,PT,7,0,,0,,0,,0,,2434206,,2434206,,0,
"Hernando County Board of County Commissioners, dba: TheBus",Brooksville,FL,40146,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2023,84024,"Spring Hill, FL",169050,10,MB,Bus,PT,7,0,,0,,0,,0,,2403323,,2403323,,0,
"City of Fort Smith, dba: Fort Smith Transit",Fort Smith,AR,60086,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2023,30925,"Fort Smith, AR--OK",125811,10,MB,Bus,DO,7,0,,0,,0,,0,,1930884,,1930884,,0,
"City of Beloit, dba: Beloit Transit System",Beloit,WI,50109,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2023,06760,"Beloit, WI--IL",63073,10,MB,Bus,DO,7,0,,0,,0,,0,,2247875,,2247875,,0,
"Terrebonne Parish Consolidated Government, dba: Good Earth Transit",Houma,LA,60080,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2023,40375,"Houma, LA",145482,10,MB,Bus,DO,7,0,,0,,0,,0,,1666816,,1666816,,0,
"City of Hattiesburg, dba: Hub City Transit",Hattiesburg,MS,40060,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2023,37594,"Hattiesburg, MS",80821,10,MB,Bus,DO,7,0,,0,,0,,0,,1869229,,1869229,,0,
"City of St. George, dba: SunTran",Saint George,UT,80026,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2023,77446,"St. George, UT",134109,10,MB,Bus,DO,6,0,,0,,0,,0,,2198550,,2198550,,0,
"Texarkana Urban Transit District, dba: T-Line",Texarkana,TX,60093,Independent Public Agency or Authority of Transit Service,Reduced Reporter,2023,87193,"Texarkana, TX--AR",78744,10,MB,Bus,DO,6,0,,0,,0,,0,,1740539,,1740539,,0,
"Yavapai-Apache Nation, dba: YAN Transit",Camp Verde,AZ,99328,Tribe,Reduced Reporter,2023,00004,Arizona Non-UZA,1296856,10,DR,Demand Response,DO,6,0,,0,,0,,0,,187222,,187222,,0,
"Basin Transit Service, dba: Basin Transit Service Transportation District",Klamath Falls,OR,00339,Independent Public Agency or Authority of Transit Service,Rural Reporter,2023,,,,10,MB,Bus,DO,6,0,,0,,0,,0,,3268753,,3268753,,0,
"Ketchikan Gateway Borough, dba: The Bus",Ketchikan,AK,00358,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,10,MB,Bus,DO,6,0,,0,,0,,0,,3348826,,3348826,,0,
"City of Galesburg, dba: City of Galesburg Public Transportation",Galesburg,IL,50502,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,10,DR,Demand Response,DO,6,0,,0,,0,,0,,1057286,,1057286,,0,
Carson Area Metropolitan Planning Organization,Carson City,NV,90215,"MPO, COG or Other Planning Agency",Reduced Reporter,2023,14158,"Carson City, NV",61629,10,DR,Demand Response,PT,6,0,,0,,0,,0,,521276,,521276,,0,
"South Central Kansas Area Agency on Aging, dba: Reno County Area Transit",Hutchinson,KS,70180,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,10,DR,Demand Response,DO,6,0,,0,,0,,0,,623708,,623708,,0,
City of Round Rock,Round Rock,TX,60125,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2023,04384,"Austin, TX",1809888,10,MB,Bus,PT,6,0,,0,,0,,0,,1312569,,1312569,,0,
Ride Solution,Palatka,FL,40920,Private-Non-Profit Corporation,Rural Reporter,2023,,,,10,DR,Demand Response,DO,5,0,,0,,0,,0,,872096,,872096,,0,
"City of Columbus, dba: ColumBus Transit",Columbus,IN,50177,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2023,19126,"Columbus, IN",60982,10,MB,Bus,DO,5,0,,0,,0,,0,,1841819,,1841819,,0,
"Washington County Commissioners, dba: Community Action Bus Lines",Marietta,OH,55324,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,10,DR,Demand Response,PT,5,0,,0,,0,,0,,356482,,356482,,0,
"City of Columbus, dba: ColumBus Transit",Columbus,IN,50177,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2023,19126,"Columbus, IN",60982,10,DR,Demand Response,DO,5,0,,0,,0,,0,,460455,,460455,,0,
City of Corona,Corona,CA,90052,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2023,75340,"Riverside--San Bernardino, CA",2276703,10,MB,Bus,PT,5,0,,0,,0,,0,,1314154,,1314154,,0,
Valley Transit,Wasilla,AK,00327,Private-Non-Profit Corporation,Reduced Reporter,2023,92459,"Wasilla--Knik-Fairview--North Lakes, AK",53444,10,MB,Bus,DO,5,0,,0,,0,,0,,1238854,,1238854,,0,
City of Corona,Corona,CA,90052,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2023,75340,"Riverside--San Bernardino, CA",2276703,10,DR,Demand Response,PT,5,0,,0,,0,,0,,1212099,,1212099,,0,
Ride Solution,Palatka,FL,40920,Private-Non-Profit Corporation,Rural Reporter,2023,,,,10,MB,Bus,DO,5,0,,0,,0,,0,,1270329,,1270329,,0,
Valley Transit,Wasilla,AK,00327,Private-Non-Profit Corporation,Reduced Reporter,2023,92459,"Wasilla--Knik-Fairview--North Lakes, AK",53444,10,DR,Demand Response,DO,5,0,,0,,0,,0,,943033,,943033,,0,
"Washington County Commissioners, dba: Community Action Bus Lines",Marietta,OH,55324,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,10,MB,Bus,PT,5,0,,0,,0,,0,,475047,,475047,,0,
"Yavapai-Apache Nation, dba: YAN Transit",Camp Verde,AZ,99328,Tribe,Reduced Reporter,2023,00004,Arizona Non-UZA,1296856,10,MB,Bus,DO,4,0,,0,,0,,0,,454941,,454941,,0,
"City of St. George, dba: SunTran",Saint George,UT,80026,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2023,77446,"St. George, UT",134109,10,DR,Demand Response,DO,4,0,,0,,0,,0,,493654,,493654,,0,
"Texarkana Urban Transit District, dba: T-Line",Texarkana,TX,60093,Independent Public Agency or Authority of Transit Service,Reduced Reporter,2023,87193,"Texarkana, TX--AR",78744,10,DR,Demand Response,DO,4,0,,0,,0,,0,,199802,,199802,,0,
"City of Galesburg, dba: City of Galesburg Public Transportation",Galesburg,IL,50502,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,10,MB,Bus,DO,4,0,,0,,0,,0,,1470025,,1470025,,0,
"Basin Transit Service, dba: Basin Transit Service Transportation District",Klamath Falls,OR,00339,Independent Public Agency or Authority of Transit Service,Rural Reporter,2023,,,,10,DR,Demand Response,DO,4,0,,0,,0,,0,,550903,,550903,,0,
Carson Area Metropolitan Planning Organization,Carson City,NV,90215,"MPO, COG or Other Planning Agency",Reduced Reporter,2023,14158,"Carson City, NV",61629,10,MB,Bus,PT,4,0,,0,,0,,0,,1432317,,1432317,,0,
"Ketchikan Gateway Borough, dba: The Bus",Ketchikan,AK,00358,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,10,DR,Demand Response,PT,4,0,,0,,0,,0,,447996,,447996,,0,
"South Central Kansas Area Agency on Aging, dba: Reno County Area Transit",Hutchinson,KS,70180,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,10,MB,Bus,DO,4,0,,0,,0,,0,,578042,,578042,,0,
"Big Sky Transportation District, dba: Skyline",Big Sky,MT,80255,Independent Public Agency or Authority of Transit Service,Rural Reporter,2023,,,,10,DR,Demand Response,PT,3,0,,0,,0,,0,,340886,,340886,,0,
"Hernando County Board of County Commissioners, dba: TheBus",Brooksville,FL,40146,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2023,84024,"Spring Hill, FL",169050,10,DR,Demand Response,PT,3,0,,0,,0,,0,,610258,,610258,,0,
"City of Fort Smith, dba: Fort Smith Transit",Fort Smith,AR,60086,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2023,30925,"Fort Smith, AR--OK",125811,10,DR,Demand Response,DO,3,0,,0,,0,,0,,868956,,868956,,0,
"City of Beloit, dba: Beloit Transit System",Beloit,WI,50109,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2023,06760,"Beloit, WI--IL",63073,10,DR,Demand Response,PT,3,0,,0,,0,,0,,56646,,56646,,0,
"Terrebonne Parish Consolidated Government, dba: Good Earth Transit",Houma,LA,60080,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2023,40375,"Houma, LA",145482,10,DR,Demand Response,DO,3,0,,0,,0,,0,,106393,,106393,,0,
"City of Hattiesburg, dba: Hub City Transit",Hattiesburg,MS,40060,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2023,37594,"Hattiesburg, MS",80821,10,DR,Demand Response,DO,3,0,,0,,0,,0,,109276,,109276,,0,
"Gaston County, dba:  ACCESS Transportation",Gastonia,NC,40221,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2023,32653,"Gastonia, NC",176897,10,MB,Bus,DO,2,0,,0,,0,,0,,141222,,141222,,0,
"Lyon County, dba: Lyon County Transportation",Emporia,KS,70248,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,10,MB,Bus,DO,2,0,,0,,0,,0,,202715,,202715,,0,
"City of Lompoc, dba: City of Lompoc Transit",Lompoc,CA,90149,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2023,51040,"Lompoc, CA",54287,10,DR,Demand Response,PT,2,0,,0,,0,,0,,833477,,833477,,0,
"Oneida-Vilas Transit Commission, dba: Northwoods Transit Connections",Rhinelander,WI,55319,Independent Public Agency or Authority of Transit Service,Rural Reporter,2023,,,,10,MB,Bus,DO,2,0,,0,,0,,0,,149502,,149502,,0,
"City of Terre Haute , dba: Terre Haute Transit Utility",Terre Haute,IN,50053,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2023,87139,"Terre Haute, IN",79862,10,DR,Demand Response,DO,2,360758,,60520,,33315,,41399,,0,,495992,,0,
"Autonomous Municipality of Vega Alta, dba: Municipio Autonomo de Vega Alta",Vega Alta,PR,40199,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2023,79093,"San Juan, PR",1844410,10,DR,Demand Response,DO,2,0,,0,,0,,0,,88197,,88197,,0,
Person County,Roxboro,NC,41010,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,10,MB,Bus,DO,2,0,,0,,0,,0,,54592,,54592,,0,
"Center for Pan Asian Community Services, Inc.",Atlanta,GA,40246,Private-Non-Profit Corporation,Reduced Reporter,2023,03817,"Atlanta, GA",5100112,10,MB,Bus,DO,2,0,,0,,0,,0,,5739,,5739,,0,
"Harney County, dba: Harney Hub Transit",Burns,OR,00374,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,10,MB,Bus,PT,1,0,,0,,0,,0,,320022,,320022,,0,
City of Bell,Bell,CA,90252,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2023,51445,"Los Angeles--Long Beach--Anaheim, CA",12237376,10,MB,Bus,PT,1,0,,0,,0,,0,,231582,,231582,,0,
Paul Bunyan Transit,Bemidji,MN,50489,Private-Non-Profit Corporation,Rural Reporter,2023,,,,10,MB,Bus,DO,1,0,,0,,0,,0,,8271,,8271,,0,
City of Bell,Bell,CA,90252,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2023,51445,"Los Angeles--Long Beach--Anaheim, CA",12237376,10,DR,Demand Response,PT,1,0,,0,,0,,0,,112971,,112971,,0,
"New River Valley Senior Services, Inc., dba: Pulaski Area Transit",Radford,VA,30115,Private-Non-Profit Corporation,Rural Reporter,2023,,,,10,DR,Demand Response,DO,1,0,,0,,0,,0,,64132,,64132,,0,
"City of Maple Grove, dba: Maple Grove Transit",Maple Grove,MN,50517,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2023,57628,"Minneapolis--St. Paul, MN",2914866,9,DR,Demand Response,PT,9,892851,,2879,,22150,,653195,,0,,1571075,,0,
"Salt River Pima-Maricopa Indian Community, dba: Salt River Transit",Scottsdale,AZ,99376,Tribe,Reduced Reporter,2023,00004,Arizona Non-UZA,1296856,9,DR,Demand Response,DO,9,0,,0,,0,,0,,829537,,829537,,0,
"Jefferson County, dba: Jefferson Transit",Louisville,GA,40977,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,9,DR,Demand Response,DO,9,0,,0,,0,,0,,498915,,498915,,0,
"Jones County, dba: Jones County Jets",Anamosa,IA,77089,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2023,,,,9,DR,Demand Response,DO,9,0,,0,,0,,0,,334869,,334869,,0,
